date,close,high,low,open,volume
2024-09-04,456.938,463.7448,451.3065,453.4612,1321187
2024-09-05,458.1133,464.9691,456.0076,460.317,3114100
2024-09-06,453.8529,462.9614,451.6493,460.317,2457608
2024-09-09,451.3065,456.7422,447.9276,450.523,1633031
2024-09-10,457.3298,463.3531,453.0694,455.42,3015631
2024-09-11,449.8374,459.9252,447.0461,459.3376,2108614
2024-09-12,449.5436,458.0154,446.8502,453.5101,3223918
2024-09-13,442.443,451.9921,441.4146,450.7189,1868057
2024-09-16,438.6722,450.7678,435.9299,442.4429,2595629
2024-09-17,443.4224,445.626,438.8682,440.6801,2577605
2024-09-18,439.6027,445.9688,435.93,445.528,1154384
2024-09-19,440.729,445.7729,433.3346,443.5203,2157626
2024-09-20,437.5949,444.9894,432.4531,441.0718,3252868
2024-09-23,436.5666,446.1646,431.8655,438.5743,2312575
2024-09-24,430.2005,436.5666,426.087,436.5666,3041423
2024-09-25,432.4531,439.064,425.6952,432.8938,2775467
2024-09-26,410.6125,436.7135,404.3933,436.7135,11057819
2024-09-27,414.0894,417.5172,408.7517,412.8651,4874114
2024-09-30,407.6743,416.244,406.0093,415.5585,2617019
2024-10-01,423.1488,426.038,406.646,409.4862,8536418
2024-10-03,418.5457,429.319,413.11,413.11,3020293
2024-10-04,413.3548,422.904,411.6899,420.0148,1971620
2024-10-07,416.5378,424.8627,408.8986,416.244,3399929
2024-10-08,421.3369,425.0586,412.9141,418.1539,4131935
2024-10-09,427.5561,430.8371,420.8962,422.2673,2333123
2024-10-10,431.8165,432.8938,428.0458,428.0458,4640122
2024-10-11,421.9735,437.448,419.9658,436.8114,2209754
2024-10-14,420.7982,422.806,414.1384,422.0715,1410908
2024-10-15,421.19,423.8833,415.5095,422.1694,2103762
2024-10-16,413.8935,421.9245,408.9965,414.2852,2519690
2024-10-17,405.9604,417.4683,404.4913,417.4683,1939053
2024-10-18,400.6227,406.4011,397.7334,405.2748,4268676
2024-10-21,396.3623,406.6949,394.4525,404.4423,1621722
2024-10-22,389.8493,403.6098,388.723,393.4731,2206238
2024-10-23,388.1843,398.3701,386.7152,391.7591,1666955
2024-10-24,387.4008,390.7797,384.6095,389.5555,2679695
2024-10-25,383.875,388.9189,374.7176,386.9111,1946954
2024-10-28,381.3286,387.3029,377.1661,386.8621,2065494
2024-10-29,383.4832,385.442,374.2279,382.8956,1925919
2024-10-30,385.393,387.9395,378.8311,382.0141,2690156
2024-10-31,382.9445,388.3312,380.3492,384.0709,2248972
2024-11-01,384.0708,386.7642,382.9935,386.7642,106035
2024-11-04,376.8233,386.0786,374.3259,385.6868,1677666
2024-11-05,377.5579,378.4883,367.3721,373.1506,2712137
2024-11-06,394.1587,395.0891,376.5785,378.2924,1168854
2024-11-07,381.9162,393.3261,380.6919,393.2282,1340940
2024-11-08,390.388,392.7385,378.6352,381.7203,1417494
2024-11-11,382.5038,397.7335,381.1327,389.8003,3800353
2024-11-12,382.3569,391.906,380.2512,385.6868,4078155
