date,close,high,low,open,volume
2024-09-04,1052.8263,1077.6525,1047.8611,1077.6525,1108263
2024-09-05,1052.6803,1059.4953,1042.9933,1054.6762,1278880
2024-09-06,1028.7302,1056.8179,1025.4688,1053.4104,1014325
2024-09-09,1024.2518,1029.071,1011.5466,1029.071,431616
2024-09-10,1034.7664,1039.7803,1027.1238,1031.9917,452578
2024-09-11,1002.9791,1037.6872,1001.0807,1035.594,755783
2024-09-12,1016.0738,1017.8749,997.9166,1004.8289,622430
2024-09-13,1025.8582,1037.8819,1013.9806,1017.3881,507348
2024-09-16,1014.224,1032.1864,1012.5202,1025.8582,697399
2024-09-17,1003.612,1021.2824,1001.8109,1021.2824,595277
2024-09-18,990.7121,1008.4313,979.4673,1003.7581,1193561
2024-09-19,995.4826,1001.8109,966.8107,998.598,1428078
2024-09-20,998.598,1003.7093,988.7649,997.9166,541066
2024-09-23,1006.7761,1010.8652,998.9874,1002.7844,455243
2024-09-24,1022.2073,1028.3896,1004.0015,1004.0015,1082182
2024-09-25,1030.0934,1038.6608,1023.2296,1023.2296,859249
2024-09-26,1026.5883,1033.9388,1014.5646,1031.9917,481760
2024-09-27,1039.0015,1061.0044,1028.2435,1029.6551,2285624
2024-09-30,1062.27,1072.2006,1045.7679,1051.4146,2456424
2024-10-01,1102.6735,1109.8292,1059.2519,1069.9613,3781132
2024-10-03,1103.1116,1109.8779,1062.416,1089.9196,1946547
2024-10-04,1098.8279,1132.2702,1073.1254,1102.5761,3609598
2024-10-07,1049.1755,1113.0422,1042.8473,1111.8252,1550240
2024-10-08,1057.0127,1075.2673,1027.9514,1049.1755,1023319
2024-10-09,1076.1434,1114.3563,1062.3673,1064.1198,2757842
2024-10-10,1120.782,1172.625,1102.7222,1129.3495,12418567
2024-10-11,1151.8391,1157.2911,1115.4273,1126.3314,4347446
2024-10-14,1075.3159,1168.5847,1068.0141,1162.4511,6645765
2024-10-15,1069.9613,1092.1102,1066.2131,1078.6262,2058334
2024-10-16,1071.2756,1079.6971,1063.1463,1066.067,929093
2024-10-17,1045.4758,1088.4593,1036.1782,1072.8821,1406274
2024-10-18,1059.3492,1064.5579,1012.5202,1027.1726,2178864
2024-10-21,1157.5831,1214.3913,1097.416,1109.8779,19163502
2024-10-22,1113.0908,1150.2814,1099.4607,1139.0853,6566552
2024-10-23,1095.1283,1132.6597,1092.4997,1111.8252,2878025
2024-10-24,1077.9933,1113.7235,1071.9084,1099.85,1686540
2024-10-25,1036.6163,1085.5873,1024.544,1080.6707,1915919
2024-10-28,1062.8055,1076.7276,1036.8597,1041.7276,1585694
2024-10-29,1067.2351,1074.3423,1044.3074,1068.1114,1099457
2024-10-30,1101.8459,1108.5149,1059.3007,1067.0406,2265808
2024-10-31,1118.5427,1127.7917,1094.9335,1101.1157,1792719
2024-11-01,1124.2383,1133.0978,1117.6666,1123.5081,287093
2024-11-04,1096.0045,1124.2383,1081.5469,1124.2383,658591
